POSTYPE,MATNR,OWNER,OWNER_ROLE,BATCH,CAT,STOCK_DOCCAT,STOCK_DOCNO,STOCK_ITMNO,STOCK_USAGE,ENTITELED,ENTITLED_ROLE,COO,QUAN,UNIT,HUTYP,LGPLA,GR_DATE,GR_TIME,VFDAT,PMAT,EXTNO,HUIDENT,PARHUIDENT,TOPHUIDENT,ROW,REFROW,G_WEIGHT,N_WEIGHT,UNIT_GW,T_WEIGHT,UNIT_TW,G_VOLUME,N_VOLUME,UNIT_GV,T_VOLUME,UNIT_TV,G_CAPA,N_CAPA,T_CAPA,LENGTH,WIDTH,HEIGHT,UNIT_LWH,MAX_WEIGHT,TOLW,TARE_VAR,MAX_VOLUME,TOLV,CLOSED_PACKAGE,MAX_CAPA,MAX_LENGTH,MAX_WIDTH,MAX_HEIGHT,UNIT_MAX_LWH,SERNR,CWQUAN,CWUNIT,CWEXACT,LOGPOS,UII,AMOUNT_LC,DUMMY_ISU,ZEUGN
4,10865,NE00,BP,23275O0506,1,,,,,NE00,BP,,4,CS,,19-068-1,20240806,,20250929,,,087139750000020509,087139750000020509,087139750000020509,50,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-069-1,,,,NPALLET-E1,X,350103471816643712,350103471816643712,350103471816643712,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7958,NE00,BP,42340810A1,1,,,,,NE00,BP,,1,CS,,19-069-1,20240918,,20250820,,,350103471816643712,350103471816643712,350103471816643712,52,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-070-1,,,,NPALLET-E1,X,350103471816602894,350103471816602894,350103471816602894,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10866,NE00,BP,24019S0501,1,,,,,NE00,BP,,5,CS,,19-070-1,20240919,,20260112,,,350103471816602894,350103471816602894,350103471816602894,54,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-071-1,,,,NPALLET-E1,X,376130308202802061,376130308202802061,376130308202802061,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7956,NE00,BP,42020810A2,1,,,,,NE00,BP,,11,CS,,19-071-1,20241004,,20250720,,,376130308202802061,376130308202802061,376130308202802061,56,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,I1,19-073-1,,,,NPALLET-I1,X,376130308202795509,376130308202795509,376130308202795509,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9368,NE00,BP,41100301,1,,,,,NE00,BP,,9,CS,,19-073-1,20240926,,20250430,,,376130308202795509,376130308202795509,376130308202795509,58,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,E1,19-074-1,,,,NPALLET-E1,X,350103471815292850,350103471815292850,350103471815292850,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
